Calibration_Linear,Calibration_ToF,Run1_Linear,Run1_ToF,Run2_Linear,Run2_ToF
860,114,583,97,642,102
861,118,583,94,642,101
860,120,583,94,642,101
860,117,583,94,642,104
861,118,583,96,642,103
861,122,583,96,642,101
860,120,583,96,642,102
861,115,583,96,643,102
861,117,583,94,643,103
861,118,583,97,642,101
,,583,95,642,99
,,583,94,642,99
,,583,98,642,99
,,583,95,642,99
,,583,95,642,102
,,583,95,642,104
,,583,98,642,102
,,583,97,642,103
,,583,98,642,103
,,583,97,642,104
,,583,96,642,101
,,583,96,642,105
,,583,95,642,102
,,583,96,643,100
,,583,101,642,101
,,583,98,642,101
,,583,96,642,100
,,583,97,642,102
,,583,97,642,103
,,583,95,642,104
,,583,96,642,103
,,583,95,642,102
,,583,94,642,100
,,583,91,642,99
,,583,95,642,101
,,583,99,642,105
,,583,96,642,100
,,583,97,642,100
,,583,96,642,104
,,583,98,642,103
,,583,96,642,101
,,583,99,643,102
,,583,99,643,103
,,583,96,643,101
,,583,99,642,100
,,583,98,643,104
,,583,97,643,100
,,583,97,642,98
,,583,97,643,100
,,583,99,642,100
,,583,97,643,100
,,583,96,643,100
,,583,95,643,99
,,583,98,643,101
,,583,98,642,102
,,583,96,643,99
,,583,98,642,101
,,583,96,643,100
,,583,96,643,101
,,583,97,643,102
,,583,95,643,104
,,583,98,642,101
,,583,98,643,101
,,583,99,643,100
,,583,98,642,101
,,583,97,643,102
,,583,97,643,98
,,583,99,643,100
,,583,97,643,99
,,583,93,643,100
,,583,96,642,101
,,583,97,642,100
,,583,98,643,99
,,583,96,642,106
,,583,96,643,106
,,583,95,643,103
,,583,96,642,100
,,583,100,642,101
,,583,96,642,102
,,583,95,642,104
,,583,98,642,102
,,583,96,642,100
,,583,95,642,102
,,583,94,642,100
,,583,97,642,100
,,583,97,642,100
,,583,95,642,100
,,583,95,642,99
,,583,96,642,100
,,583,97,641,100
,,583,94,641,101
,,583,95,641,103
,,583,96,641,102
,,583,95,641,103
,,583,95,641,102
,,583,96,641,103
,,583,94,641,100
,,583,95,641,99
,,583,95,641,101
,,583,97,641,97
,,583,99,641,102
,,583,97,641,102
,,583,97,641,98
,,583,93,641,103
,,583,93,641,102
,,583,95,641,97
,,583,97,641,99
,,583,98,641,101
,,583,97,641,101
,,583,93,641,98
,,583,96,641,99
,,583,97,641,102
,,583,97,641,99
,,583,98,641,100
,,583,98,641,102
,,583,97,641,103
,,583,93,641,101
,,583,97,641,101
,,583,93,641,100
,,583,94,641,100
,,583,96,641,100
,,583,95,641,101
,,583,97,641,101
,,583,94,641,102
,,583,94,641,101
,,583,94,641,99
,,583,96,641,99
,,583,98,641,101
,,583,97,641,99
,,583,97,641,100
,,583,95,641,100
,,583,95,641,99
,,583,97,641,100
,,583,94,641,101
,,583,93,641,100
,,583,98,641,101
,,583,100,641,102
,,583,95,641,99
,,583,97,641,100
,,583,97,641,102
,,583,97,641,99
,,583,99,641,100
,,583,97,641,101
,,583,94,641,103
,,583,98,641,103
,,583,95,641,100
,,583,94,641,102
,,583,95,641,103
,,583,96,641,100
,,583,96,641,103
,,583,97,641,100
,,583,96,641,97
,,583,95,641,103
,,583,97,641,102
,,583,97,641,99
,,583,96,641,101
,,583,96,641,103
,,583,95,641,101
,,583,98,641,103
,,583,100,641,100
,,583,96,641,100
,,583,96,641,99
,,583,99,641,100
,,583,100,641,103
,,583,96,641,101
,,583,95,641,99
,,583,96,641,101
,,583,101,641,100
,,583,98,641,99
,,583,97,641,103
,,583,95,641,104
,,583,95,641,100
,,583,99,641,102
,,583,96,641,104
,,583,96,641,100
,,583,98,641,101
,,583,95,641,104
,,583,93,641,102
,,583,96,641,100
,,583,99,641,102
,,583,97,641,99
,,583,94,640,99
,,583,97,640,98
,,583,96,640,99
,,583,96,640,104
,,583,96,640,102
,,583,95,639,102
,,583,96,639,102
,,583,97,638,99
,,583,97,637,98
,,583,95,637,99
,,583,95,636,101
,,583,97,636,100
,,583,96,636,100
,,583,97,636,102
,,583,93,636,100
,,583,96,636,100
,,583,99,636,102
,,583,97,636,101
,,583,96,636,101
,,583,95,635,98
,,583,93,636,98
,,583,92,636,101
,,583,94,635,99
,,583,92,635,100
,,583,95,635,102
,,583,96,635,101
,,583,96,635,98
,,583,95,635,99
,,583,93,634,100
,,583,95,634,101
,,583,93,634,100
,,583,93,634,100
,,583,94,634,100
,,583,95,634,100
,,583,97,634,102
,,583,93,634,103
,,583,94,634,101
,,583,95,634,102
,,583,93,634,102
,,583,94,634,99
,,583,96,634,99
,,583,94,634,100
,,583,95,634,98
,,582,94,634,100
,,583,95,634,99
,,583,95,633,101
,,583,98,633,101
,,583,100,633,103
,,583,96,633,100
,,583,95,633,99
,,583,96,632,101
,,583,96,632,102
,,583,96,632,101
,,583,93,631,100
,,583,96,631,99
,,583,92,631,101
