Time,Speed,Long,Lat,Accelx,Accely,Accelz
1:06:43,60.76,152.9663544,-27.22619629,4.45,-7.64,-7.94
1:06:44,47.24,152.9664459,-27.22611237,-4.15,7.49,-6.37
1:06:45,47.63,152.9665375,-27.22603035,-2.94,-3.03,-14.38
1:06:46,53.76,152.9666748,-27.22596741,-4.15,3.6,-6.65
1:06:47,58.45,152.9668121,-27.22589684,2.94,8.79,-8.23
1:06:48,56.37,152.9669647,-27.22586441,5.05,9.22,-6.08
1:06:49,41.73,152.9670868,-27.2258873,-0.38,-2.88,-10.66
1:06:50,44.87,152.9671631,-27.22595978,5.96,0.14,-7.94
1:06:51,45.45,152.9672852,-27.22602844,-6.71,0.58,-9.23
1:06:52,54.6,152.9673615,-27.22612381,6.71,7.06,-9.51
1:06:53,51.21,152.9674225,-27.22624016,-0.08,8.21,-11.52
1:06:54,42.87,152.967392,-27.22634506,-3.24,4.76,-8.08
1:06:55,48.82,152.9673004,-27.22641945,6.86,9.22,-8.51
1:06:56,49.93,152.9671631,-27.2264595,0.53,0.86,-11.23
1:06:57,45.34,152.967041,-27.22647667,0.98,-4.18,-5.79
1:06:58,43.69,152.9669495,-27.22652435,4.15,9.22,-8.37
1:06:59,48.37,152.9668121,-27.22655106,3.54,-9.94,-11.52
1:07:00,49.69,152.9666901,-27.22660065,6.71,-12.25,-8.8
1:07:01,42.67,152.966629,-27.22668839,-3.24,-7.06,-13.81
1:07:02,45.08,152.9666138,-27.2267952,3.09,12.54,-9.94
1:07:03,49.32,152.9666138,-27.22691727,10.18,9.37,-9.08
1:07:04,42.39,152.9665222,-27.22700119,5.35,9.37,-12.09
1:07:05,45.71,152.9664154,-27.22700691,-4.75,-3.89,-9.8
1:07:06,55.08,152.9662628,-27.22699928,5.2,-16,-12.95
1:07:07,50.32,152.9661255,-27.2270546,-3.54,-5.62,-11.66
1:07:08,45.71,152.9660645,-27.22714615,-1.73,4.18,-12.8
1:07:09,47.73,152.9659576,-27.22722054,9.88,11.67,-10.37
1:07:10,42.78,152.9658356,-27.22721672,1.88,3.75,-13.38
1:07:11,43.26,152.9657593,-27.22714806,-1.73,6.05,-6.8
1:07:12,44.97,152.9657135,-27.22704887,-6.11,3.17,-9.23
1:07:13,45.8,152.9656372,-27.22696495,6.56,3.31,-6.37
1:07:14,51.13,152.9655609,-27.22685814,-1.13,9.8,-1.5
1:07:15,52.17,152.9655609,-27.22673416,0.53,-6.2,-10.09
1:07:16,60.47,152.9656372,-27.22660828,-3.54,7.64,-5.22
1:07:17,68.14,152.9657593,-27.2264843,1.73,9.37,-7.65
1:07:18,63.13,152.9658966,-27.22638512,2.79,-7.64,-9.66
1:07:19,50.32,152.9660187,-27.22631645,-5.35,-0.58,-13.95
1:07:20,48.62,152.9661407,-27.2262764,-9.42,-6.05,-5.51
1:07:21,56.54,152.9662933,-27.22621918,8.07,-2.31,-12.52
1:07:22,58.3,152.9664307,-27.22613907,-1.58,2.88,-8.37
1:07:23,50.39,152.9665222,-27.2260437,-3.54,4.76,-12.23
1:07:24,53.56,152.9666595,-27.22598076,-1.13,-0.29,-9.8
1:07:25,62.02,152.9667969,-27.22590637,11.38,-0.43,-13.52
1:07:26,58.78,152.9669495,-27.22586441,0.68,-3.89,-11.95
1:07:27,45.76,152.9670868,-27.22587967,8.07,10.81,-7.65
1:07:28,42.82,152.9671631,-27.22595024,-1.73,-2.74,-8.08
1:07:29,46.67,152.9672699,-27.22601509,-4.6,10.23,-9.37
1:07:30,58.19,152.9673615,-27.2261219,4.3,9.22,-11.09
1:07:31,53.82,152.9674225,-27.22624779,5.96,13.26,-7.94
1:07:32,36.11,152.967392,-27.22634315,6.11,9.37,-8.8
1:07:33,50.87,152.9672852,-27.22641563,3.84,4.76,-9.51
